,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
1st Circuit,"Choctaw, Clarke, Washington",55102,37.8,1.2,42.8,District Attorney,Spencer Walker,2005,2010,U,D,C,M,running,,,,,,,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
2nd Circuit,"Butler, Crenshaw, Lowndes",44853,44.6,1.4,51.9,District Attorney,Charlotte Tesmer,2012,appt.,,D,C,F,running,"William Morgan Rayborn, Jr. ",C,M,,,,,,,A,2016,appt,,http://www.greenvilleadvocate.com/2015/11/17/mclendon-endorses-tesmer-for-da/,,,,,,,,,,,,
3rd Circuit,"Barbour, Bullock",37651,54,5.4,59.2,District Attorney,Ben Reeves,,2010,U,D,C,M,running,,,,,,,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
4th Circuit,"Bibb, Dallas, Hale, Perry, Wilcox",100325,56,1.3,62.5,District Attorney,Michael Jackson,,2010,U,D,AA,M,running,,,,Faya (Rose Sanders) Toure,AA,F,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
5th Circuit,"Chambers, Macon, Randolph,Tallapoosa",117025,39,2.1,54.3,District Attorney,E. Paul Jones,2004,2010,U,D,C,M,not running,William Harris,C,M,D. Jeremy Duerr,C,M,,,,M,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://www.alexcityoutlook.com/2015/09/28/lewis-to-seek-da-post-as-jones-set-to-retire/,,,,,,,,,,,,
,,,,,,,,,,,,,,,Damon Lewis,C,M,,,,,,,,,,,,,,,,,,,,,,,
6th Circuit,Tuscaloosa,202212,31,3.3,40.7,District Attorney,Lyn Head,2013,appt,,R,C,F,running,Robert Hays Webb,C,M,Dennis Steverson,AA,M,,,,O,2016,,,,,,,,,,,,,,,
