id,first_name,last_name,image,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,election,first_year_elected,last_year_elected,percent_vote,notes
5394,Donald,Aandal,,M,C,19,Yes,Not Sure,No,,MN - Marshall - 2018,,2014,,
6661,Mark,Aaron,,M,C,26,Yes,Not Sure,No,,PA - Clarion - 2019,,2015,,
5485,Douglas,Abele,,M,C,26,Yes,Not Sure,No,,MO - Cooper - 2018,,2014,,
6323,Joel,Abelove,,M,C,26,Yes,Not Sure,No,,NY - Rensselaer - 2018,2015,2014,,
4609,Doug,Abenroth,,M,C,26,Yes,Yes,Yes,U,ID - Cassia - 2016,2014,,,
6751,Steven,Aberle,,M,C,10,Yes,Yes,No,U,SD - Dewey - 2016,,2012,,
5636,Joseph,Abler,,M,C,26,Yes,Not Sure,No,,NE - Antelope - 2018,,2014,,
7879,Marc,Abrams,,M,C,10,Yes,Not Sure,Yes,,VA - Winchester City - 2017,,,,
4448,Krishna,Abrams,,F,C,19,Yes,Not Sure,No,,CA - Solano - 2018,2014,2014,,
4314,Bill,Adair,,M,C,26,Yes,Yes,No,U,AL - 14th Circuit - 2016,2011,2010,,
7571,Kim,Adams,,F,C,26,Yes,Not Sure,No,,WY - Big Horn - 2018,,,,
6723,Christina T.,Adams,,F,C,26,Yes,No,No,,SC - 10th Circuit - 2016,2005,2012,,http://www.foxcarolina.com/story/31208491/solicitor-chrissy-adams-battling-cancer-will-not-seek-reelection
6651,John,Adams,,M,C,10,Yes,Not Sure,No,,PA - Berks - 2019,2009,2015,,
5231,Wes,Adams,,M,C,26,Yes,Not Sure,No,,MD - Anne Arundel - 2018,2015,2014,,
4833,Theodore,Adams,,M,C,26,Yes,Not Sure,No,,IN - Brown - 2018,,2014,,
4587,Jonathan,Adams,,M,C,26,No,Yes,No,Yes,GA - Towaliga - 2016,,,,
4342,Kirke,Adams,,M,C,26,Yes,Yes,No,Yes,AL - 33rd Circuit - 2016,2005,2010,,
4788,Shane,Aden,,M,C,26,No,No,No,,IL - Pulaski - 2016,,,,
7312,Charles E.,Adkins,,M,AA,19,Yes,Not Sure,No,,VA - King and Queen - 2019,,2015,,
6480,C. Jeffrey,Adkins,,M,C,10,Yes,Yes,No,U,OH - Gallia - 2016,,2012,,
7253,Gary,Agar,,M,C,10,Yes,Not Sure,No,,VA - Accomack - 2019,,2015,,
7808,Howard ,Aison,,M,C,10,No,Yes,No,,NY - Montgomery - 2016,,,,
5050,Jessica,Akers,,F,C,26,Yes,Yes,No,U,KS - Grant - 2016,2012,2012,,
7190,Isidro,Alaniz,,M,H,10,Yes,Yes,No,Yes,TX - 49th Judicial District - 2016,2009,2012,,
7755,Joshua,Albin,,M,C,26,No,Yes,No,No,KS - Cowley - 2016,,,,
7336,Kenneth,Alger II,,M,C,26,Yes,Not Sure,No,,VA - Page - 2019,,2015,,
4813,Albert,Algren,,M,C,26,Yes,No,No,,IL - Warren - 2016,,2012,,
6849,Jose,Aliseda,,M,H,26,Yes,Yes,No,Yes,TX - 156th Judicial District - 2016,,2012,,
7605,James R.,Allen,,M,AA,10,No ,Yes,No ,No,NC - District 16A - 2016,,,,
6805,Charme,Allen,,F,C,26,Yes,Not Sure,No,,TN - District 6 - 2022,,2014,,"August is final election for TN District Attorneys, not November"
5080,Laura,Allen,,F,C,26,Yes,Not Sure,No,,KS - Morris - 2016,,,,DUI arrest in Oct 2012 http://www.wibw.com/home/headlines/Morris-Co-Officials-Face-DUI-Charges-173390211.html
4955,Erika,Allen,,F,C,26,Yes,Not Sure,No,,IA - Grundy - 2018,,2014,,
4446,Lawrence,Allen,,M,C,19,Yes,Not Sure,No,,CA - Sierra - 2018,2003,2014,,
7238,Christopher,Allred,,M,C,26,Yes,Not Sure,No,,UT - Weber - 2018,,2014,,
5226,Christopher,Almy,,M,C,10,Yes,Not Sure,No,,ME - District 5 - 2018,,2014,,
5246,Angela,Alsobrooks,,F,AA,10,Yes,Not Sure,No,,MD - Prince George's - 2018,,2014,,
4564,Hayward,Altman,,M,C,26,Yes,Yes,No,U,GA - Middle - 2016,,2012,,
6934,J.M.Chuy,Alvarez,,M,H,10,No,Yes,No,No,TX - 229th Judicial District - 2016,,,,
4670,Anita,Alvarez,,F,H,10,Yes,Yes,No,No,IL - Cook - 2016,2008,2012,,
4680,Richard,Amato,,M,C,26,No,Yes,No,Yes,IL - DeKalb - 2016,,,,
5282,Michelle,Ambrozaitis,,F,C,26,Yes,Yes,No,U,MI - Clare - 2016,2009,2012,,
5614,Ed,Amestoy,,M,C,26,Yes,Not Sure,No,,MT - Phillips - 2018,,2014,,
7195,Bernard,Ammerman,,M,C,10,Yes,Yes,No,No,TX - Willacy - 2016,,2012,,
