fips_code,county_name,district,state,notes
0,Carson City,NV - Carson City,NV,
1001,Autauga,AL - 19th Circuit,AL,
1003,Baldwin,AL - 28th Circuit,AL,
1005,Barbour,AL - 3rd Circuit,AL,
1007,Bibb,AL - 4th Circuit,AL,
1009,Blount,AL - 41st Circuit,AL,
1011,Bullock,AL - 3rd Circuit,AL,
1013,Butler,AL - 2nd Circuit,AL,
1015,Calhoun,AL - 7th Circuit,AL,
1017,Chambers,AL - 5th Circuit,AL,
1019,Cherokee,AL - 9th Circuit,AL,
1021,Chilton,AL - 19th Circuit,AL,
1023,Choctaw,AL - 1st Circuit,AL,
1025,Clarke,AL - 1st Circuit,AL,
1027,Clay,AL - 40th Circuit,AL,
1029,Cleburne,AL - 7th Circuit,AL,
1031,Coffee,AL - 12th Circuit,AL,
1033,Colbert,AL - 31st Circuit,AL,
1035,Conecuh,AL - 35th Circuit,AL,
1037,Coosa,AL - 40th Circuit,AL,
1039,Covington,AL - 22nd Circuit,AL,
1041,Crenshaw,AL - 2nd Circuit,AL,
1043,Cullman,AL - 32nd Circuit,AL,
1045,Dale,AL - 33rd Circuit,AL,
1047,Dallas,AL - 4th Circuit,AL,
1049,DeKalb,AL - 9th Circuit,AL,
1051,Elmore,AL - 19th Circuit,AL,
1053,Escambia,AL - 21st Circuit,AL,
1055,Etowah,AL - 16th Circuit,AL,
1057,Fayette,AL - 24th Circuit,AL,
1059,Franklin,AL - 34th Circuit,AL,
1061,Geneva,AL - 33rd Circuit,AL,
1063,Greene,AL - 17th Circuit,AL,
1065,Hale,AL - 4th Circuit,AL,
1067,Henry,AL - 20th Circuit,AL,
1069,Houston,AL - 20th Circuit,AL,
1071,Jackson,AL - 38th Circuit,AL,
1073,Jefferson,AL - 10th Circuit,AL,"Jefferson divides into 2 circuits with 2 different DAs: 10th Circuit, and 10th Circuit (Bessemer Division)"
1075,Lamar,AL - 24th Circuit,AL,
1077,Lauderdale,AL - 11th Circuit,AL,
1079,Lawrence,AL - 36th Circuit,AL,
1081,Lee,AL - 37th Circuit,AL,
1083,Limestone,AL - 39th Circuit,AL,
1085,Lowndes,AL - 2nd Circuit,AL,
1087,Macon,AL - 5th Circuit,AL,
1089,Madison,AL - 23rd Circuit,AL,
1091,Marengo,AL - 17th Circuit,AL,
1093,Marion,AL - 25th Circuit,AL,
1095,Marshall,AL - 27th Circuit,AL,
1097,Mobile,AL - 13th Circuit,AL,
1099,Monroe,AL - 35th Circuit,AL,
1101,Montgomery,AL - 15th Circuit,AL,
1103,Morgan,AL - 8th Circuit,AL,
1105,Perry,AL - 4th Circuit,AL,
1107,Pickens,AL - 24th Circuit,AL,
1109,Pike,AL - 12th Circuit,AL,
1111,Randolph,AL - 5th Circuit,AL,
1113,Russell,AL - 26th Circuit,AL,
1115,St. Clair,AL - 30th Circuit,AL,
1117,Shelby,AL - 18th Circuit,AL,
1119,Sumter,AL - 17th Circuit,AL,
1121,Talladega,AL - 29th Circuit,AL,
1123,Tallapoosa,AL - 5th Circuit,AL,
1125,Tuscaloosa,AL - 6th Circuit,AL,
1127,Walker,AL - 14th Circuit,AL,
1129,Washington,AL - 1st Circuit,AL,
1131,Wilcox,AL - 4th Circuit,AL,
1133,Winston,AL - 25th Circuit,AL,
4001,Apache,AZ - Apache,AZ,
4003,Cochise,AZ - Cochise,AZ,
4005,Coconino,AZ - Coconino,AZ,
4007,Gila,AZ - Gila,AZ,
4009,Graham,AZ - Graham,AZ,
4011,Greenlee,AZ - Greenlee,AZ,
4012,La Paz,AZ - La Paz,AZ,
4013,Maricopa,AZ - Maricopa,AZ,
4015,Mohave,AZ - Mohave,AZ,
4017,Navajo,AZ - Navajo,AZ,
4019,Pima,AZ - Pima,AZ,
4021,Pinal,AZ - Pinal,AZ,
4023,Santa Cruz,AZ - Santa Cruz,AZ,
4025,Yavapai,AZ - Yavapai,AZ,
4027,Yuma,AZ - Yuma,AZ,
5001,Arkansas,AR - 11th District East,AR,
5003,Ashley,AR - 10th District,AR,
