district_id,district_short,state,job_title,population,percent_aa,percent_latino,percent_obama,primary_election_date,general_election_date,next_filing_date,election_result,notes
AL - 10th Circuit,10th Circuit,AL,District Attorney,660793,42.90,3.80,52.50,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,The two 10th Circuits split up Jefferson county
AL - 10th Circuit (Bessemer Division),10th Circuit (Bessemer Division),AL,District Attorney,,,,,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,The two 10th Circuits split up Jefferson county
AL - 11th Circuit,11th Circuit,AL,District Attorney,93096,10.40,2.40,33.80,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 12th Circuit,12th Circuit,AL,District Attorney,84298,25.30,4.90,32.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 13th Circuit,13th Circuit,AL,District Attorney,415123,35.30,2.80,45.00,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 14th Circuit,14th Circuit,AL,District Attorney,65471,6.40,2.30,22.90,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 15th Circuit,15th Circuit,AL,District Attorney,226189,56.70,3.40,61.80,2016-03-01,2016-11-08,2015-11-06,,
AL - 16th Circuit,16th Circuit,AL,District Attorney,104430,15.50,3.70,30.00,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 17th Circuit,17th Circuit,AL,District Attorney,43835,64.10,1.70,67.30,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 18th Circuit,18th Circuit,AL,District Attorney,195085,12.10,6.00,21.60,2016-03-01,2016-11-08,2015-11-06,,
AL - 19th Circuit,19th Circuit,AL,District Attorney,168417,18.90,4.10,24.30,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 1st Circuit,1st Circuit,AL,District Attorney,55102,37.80,1.20,42.80,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 20th Circuit,20th Circuit,AL,District Attorney,17302,27.30,2.60,30.50,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 21st Circuit,21st Circuit,AL,District Attorney,38319,32.40,2.10,36.90,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 22nd Circuit,22nd Circuit,AL,District Attorney,37765,13.00,1.60,4.70,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 23rd Circuit,23rd Circuit,AL,District Attorney,350299,24.60,4.70,39.90,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 24th Circuit,24th Circuit,AL,District Attorney,51511,22.60,2.40,32.00,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 25th Circuit,25th Circuit,AL,District Attorney,55259,2.80,2.70,16.10,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 26th Circuit,26th Circuit,AL,District Attorney,52947,42.90,5.00,55.50,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 27th Circuit,27th Circuit,AL,District Attorney,94636,2.70,12.90,19.30,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 28th Circuit,28th Circuit,AL,District Attorney,182265,9.60,4.60,21.60,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 29th Circuit,29th Circuit,AL,District Attorney,82291,32.50,2.30,41.60,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 2nd Circuit,2nd Circuit,AL,District Attorney,44853,44.60,1.40,51.90,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 30th Circuit,30th Circuit,AL,District Attorney,83593,9.50,2.30,16.50,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 31st Circuit,31st Circuit,AL,District Attorney,54428,16.30,2.60,39.10,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 32nd Circuit,32nd Circuit,AL,District Attorney,80406,1.40,4.40,14.60,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 33rd Circuit,33rd Circuit,AL,District Attorney,76196,16.20,5.20,24.50,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/downloads/election/2010/general/2010GeneralResults-AllStateAndFederalOfficesAndAmendments-CompleteWithWrite-inAppendix.pdf,
AL - 34th Circuit,34th Circuit,AL,District Attorney,31704,4.60,16.10,29.10,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 35th Circuit,35th Circuit,AL,District Attorney,36296,43.00,1.20,47.80,2016-03-01,2016-11-08,2015-11-06,,
AL - 36th Circuit,36th Circuit,AL,District Attorney,34339,11.40,2.20,35.80,2016-03-01,2016-11-08,2015-11-06,,
AL - 37th Circuit,37th Circuit,AL,District Attorney,140247,23.70,3.90,39.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
