id,party_name
40,Not Sure
39,Joint
38,Workers World Party
37,Veterans Party of America
36,Unity Party of America
35,United States Pirate Party
34,United States Pacifist Party
33,United States Marijuana Party
32,Transhumanist Party
31,Socialist Workers Party
30,Socialist Party USA
29,Socialist Equality Party
28,Socialist Alternative
27,Socialist Action
26,Republican
25,Reform Party of the United States of America
24,Prohibition Party
23,Peace and Freedom Party
22,Party for Socialism and Liberation
21,Other Party
20,Objectivist Party
19,No Party
18,New Black Panther Party
17,National Socialist Movement
16,Modern Whig Party
15,Libertarian
14,Justice Party
13,Independent American Party
12,Green
11,Freedom Socialist Party
10,Democratic
9,Constitution
8,Communist Party USA
7,Citizens Party of the United States
6,Christian Liberty Party
5,Black Riders Liberation Party
4,American Freedom Party
3,American Conservative Party
2,America's Party
1,America First Party
