State,District,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes
AL,10th Circuit - Bessemer Division,Jefferson,,,,,District Attorney,Arthur Green,,2010,U,D,C,M,not running,Bill Veitch,C,M,Minnie Tunstall,AA,F,,,,T,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://blog.al.com/birmingham-news-commentary/2011/04/our_view_bessemer_cutoff_distr.html
AL,10th Circuit - Birmingham Division,Jefferson,660793,42.9,3.8,52.5,District Attorney,Brandon Falls,2008,2010,52.2,R,C,M,running,,,,Raymond Johnson Jr ,AA,M,,,,T,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://www.al.com/news/birmingham/index.ssf/2015/11/judicial_and_district_attorney.html
AL,11th Circuit,Lauderdale,93096,10.4,2.4,33.8,District Attorney,Christopher Connolly,2004,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,switched from Democratic to Republican affiliation in 2015
AL,12th Circuit,"Coffee, Pike",84298,25.3,4.9,32.2,District Attorney,Tom Anderson,2011,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://www.alreporter.com/five-elected-officials-switch-to-gop/
AL,13th Circuit,Mobile,415123,35.3,2.8,45,District Attorney,Ashley Rich,2011,2010,58.8,R,C,F,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,switched from Democratic to Republican affiliation in 2014
AL,14th Circuit,Walker,65471,6.4,2.3,22.9,District Attorney,Bill Adair,2011,2010,50.3,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,15th Circuit,Montgomery,226189,56.7,3.4,61.8,District Attorney,Daryl Bailey,2014,appt,,D,C,M,running,,,,,,,,,,A,2016,,,
AL,16th Circuit,Etowah,104430,15.5,3.7,30,District Attorney,Jody Willoughby,2015,appt,,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,17th Circuit,"Greene,Marengo, Sumter",43835,64.1,1.7,67.3,District Attorney,Gregory Griggers,2004,2010,U,D,C,M,running,,,,Barrown Lankster ,AA,M,,,,O,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://greenecountydemocrat.com/?p=15516
AL,18th Circuit,Shelby,195085,12.1,6,21.6,District Attorney,Jill Lee,2014,appt,,R,C,F,running,,,,,,,,,,N,2016,,,
