,fips_code,county_name,district,state,notes_x,id,first_name,last_name,image,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,election,first_year_elected,last_year_elected,percent_vote,notes_y,district_id,next_election,_merge,Notes,Missing FIPS,Source 
3842,,,,,,7303,Anton Arnett,Bell,,M,AA,10,Yes,Not Sure,No,,VA - Hampton City - 2017,,2013,,,VA - Hampton City,2017,right_only,independent City,51650,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3843,,,,,,7354,Thomas Edward,Bowers,,M,C,10,Yes,Not Sure,No,,VA - Salem City - 2017,,2013,,,VA - Salem City,2017,right_only,independent City,51775,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3844,,,,,,7280,William Bradford,Bray,,M,C,19,Yes,Not Sure,No,,VA - Colonial Heights City - 2017,,2013,,,VA - Colonial Heights City,2017,right_only,independent City,51570,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3845,,,,,,7350,Donald Stevens,Caldwell,,M,C,10,Yes,Not Sure,No,,VA - Roanoke City - 2017,,2013,,,VA - Roanoke City,2017,right_only,independent City,51770,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3846,,,,,,7276,Warner Davies,Chapman,,M,C,10,Yes,Not Sure,No,,VA - Charlottesville City - 2017,,2013,,,VA - Charlottesville City,2017,right_only,independent City,51540,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3847,,,,,,5122,Mark,Dupree,,M,AA,10,No,Yes,No,Yes,KS - Wyandotte - 2016,,,,http://www.pitch.com/FastPitch/archives/2016/01/06/mark-dupree-files-to-run-for-wyandotte-county-district-attorney-a-seat-currently-held-by-jerry-gorman,KS - Wyandotte,2016,right_only,Kansas City - unseated Gorman,20209,http://county-codes.findthedata.com/q/991/1710/What-is-the-county-FIPS-code-for-Wyandotte-County-KS; http://fox4kc.com/2016/08/03/wyandotte-countys-newly-elected-district-attorney-mark-dupree-lays-out-vision-for-upcoming-tenure/
3848,,,,,,5121,Jerome,Gorman,,M,C,10,Yes,Yes,No,No,KS - Wyandotte - 2016,2005,2012,,Wyandotte is 29th Judicial District,KS - Wyandotte,2016,right_only,Kansas City,20209,http://county-codes.findthedata.com/q/991/1710/What-is-the-county-FIPS-code-for-Wyandotte-County-KS; http://www.wycokck.org/dept.aspx?id=172&menu_id=946
3849,,,,,,7361,Carl Phillips,Ferguson,,M,C,19,Yes,Not Sure,No,,VA - Suffolk City - 2017,,2013,,,VA - Suffolk City,2017,right_only,independent City,51800,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3850,,,,,,7322,Harry Clay,"Gravely, IV",,M,C,19,Yes,Not Sure,No,,VA - Martinsville City - 2017,,2013,,,VA - Martinsville City,2017,right_only,independent City,51690,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3851,,,,,,7370,Nathan,Green,,M,C,26,Yes,Not Sure,No,,VA - Williamsburg City - 2019,,2015,,,VA - Williamsburg City,2019,right_only,independent City,51830,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3852,,,,,,4306,Arthur,Green,,M,C,10,Yes,No,No,,AL - 10th Circuit (Bessemer Division) - 2016,2008,2010,,,AL - 10th Circuit (Bessemer Division),2016,right_only,"Bessemer Division of Jefferson County, AL NOTE: All though the district has two divisions, the district boundaries align with the county boundaries therefore both divisions should be mapped to the same county and FIPS code. ",01073,http://www.alacourt.gov/JudicialCircuits.aspx; http://county-codes.findthedata.com/l/37/Jefferson-County-AL
3853,,,,,,4309,Lynniece,Olive-Washington,,F,AA,10,No,Yes,No,Yes,AL - 10th Circuit (Bessemer Division) - 2016,,,,,AL - 10th Circuit (Bessemer Division),2016,right_only,"Bessemer Division of Jefferson County, AL NOTE: All though the district has two divisions, the district boundaries align with the county boundaries therefore both divisions should be mapped to the same county and FIPS code. ",01073,http://www.alacourt.gov/JudicialCircuits.aspx; http://county-codes.findthedata.com/l/37/Jefferson-County-AL
3854,,,,,,4308,Minnie,Tunstall,,F,AA,10,No,Yes,No,No,AL - 10th Circuit (Bessemer Division) - 2016,,,,,AL - 10th Circuit (Bessemer Division),2016,right_only,"Bessemer Division of Jefferson County, AL NOTE: All though the district has two divisions, the district boundaries align with the county boundaries therefore both divisions should be mapped to the same county and FIPS code. ",01073,http://www.alacourt.gov/JudicialCircuits.aspx; http://county-codes.findthedata.com/l/37/Jefferson-County-AL
3855,,,,,,4307,Bill,Veitch,,M,C,26,No,Yes,No,,AL - 10th Circuit (Bessemer Division) - 2016,,,,,AL - 10th Circuit (Bessemer Division),2016,right_only,"Bessemer Division of Jefferson County, AL NOTE: All though the district has two divisions, the district boundaries align with the county boundaries therefore both divisions should be mapped to the same county and FIPS code. ",01073,http://www.alacourt.gov/JudicialCircuits.aspx; http://county-codes.findthedata.com/l/37/Jefferson-County-AL
3856,,,,,,4310,Lonnie,"Washington, Sr.",,M,AA,10,No,Yes,No,No,AL - 10th Circuit (Bessemer Division) - 2016,,,,,AL - 10th Circuit (Bessemer Division),2016,right_only,"Bessemer Division of Jefferson County, AL NOTE: All though the district has two divisions, the district boundaries align with the county boundaries therefore both divisions should be mapped to the same county and FIPS code. ",01073,http://www.alacourt.gov/JudicialCircuits.aspx; http://county-codes.findthedata.com/l/37/Jefferson-County-AL
3857,,,,,,7329,Howard ,Gwynn,,M,AA,10,Yes,Not Sure,No,,VA - Newport News City - 2017,,2013,,,VA - Newport News City,2017,right_only,independent City,51700,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3858,,,,,,7348,Michael Nehemiah,Herrin,,M,AA,10,Yes,Not Sure,No,,VA - Richmond City - 2017,,2013,,,VA - Richmond City,2017,right_only,independent City,51760,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3859,,,,,,7296,Labravia Jones,Jenkins,,F,AA,19,Yes,Not Sure,No,,VA - Fredericksburg City - 2017,,2013,,,VA - Fredericksburg City,2017,right_only,independent City,51630,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3860,,,,,,5625,Eileen,Joyce,,F,C,19,Yes,Not Sure,No,,MT - Silver Bow - 2018,,2012,,,MT - Silver Bow,2018,right_only,?,30093,http://county-codes.findthedata.com/l/1643/Silver-Bow-County-MT
3861,,,,,,5590,Ben,Krakowka,,M,C,19,Yes,Not Sure,No,,MT - Deer Lodge - 2018,,2014,,,MT - Deer Lodge,2018,right_only,Anaconda-Deer Lodge County,30023,https://adlc.us/departments/county-attorney/
3862,,,,,,7368,David Lee,Ledbetter,,M,C,19,Yes,Not Sure,No,,VA - Waynesboro City - 2018,,2014,,,VA - Waynesboro City,2018,right_only,independent City,51820,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3863,,,,,,7309,Richard Keith,Newman,,M,C,19,Yes,Not Sure,No,,VA - Hopewell City - 2017,,2013,,,VA - Hopewell City,2017,right_only,independent City,51670,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3864,,,,,,7284,Michael James,Newman,,M,C,19,Yes,Not Sure,No,,VA - Danville City - 2017,,2013,,,VA - Danville City,2017,right_only,independent City,51590,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3865,,,,,,7277,Nancy Grace,Parr,,F,C,26,Yes,Not Sure,No,,VA - Chesapeake City - 2017,,2013,,,VA - Chesapeake City,2017,right_only,independent City,51550,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3866,,,,,,7255,Bryan,Porter,,M,AA,10,Yes,Not Sure,No,,VA - Alexandria City - 2017,,2013,,,VA - Alexandria City,2017,right_only,independent City,51510,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3867,,,,,,7346,Christian,Rehak,,M,C,10,Yes,Not Sure,No,,VA - Radford City - 2017,,2013,,,VA - Radford City,2017,right_only,independent City,51750,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3868,,,,,,7360,Raymond Clarence,Robertson,,M,C,10,Yes,Not Sure,No,,VA - Staunton City - 2017,,2013,,,VA - Staunton City,2017,right_only,independent City,51790,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3869,,,,,,7270,Christopher Burden,Russell,,M,C,19,Yes,Not Sure,No,,VA - Buena Vista City - 2017,,2013,,,VA - Buena Vista City,2017,right_only,independent City,51530,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3870,,,,,,6895,B.J.,Shepherd,,M,C,26,Yes,No,No,,TX - 220th Judicial District - 2016,,2012,,,TX - 220th Judicial District,2016,right_only,Note: Changed map to 220th / rather than 220nd - TYPO PLEASE UPDATE IN DB ,,
3871,,,,,,6854,Adam,Sibley,,M,C,26,No,Yes,No,Yes,TX - 220th Judicial District - 2016,,,,,TX - 220th Judicial District,2016,right_only,Note: Changed map to 220th / rather than 220nd - TYPO PLEASE UPDATE IN DB ,,
3872,,,,,,7365,Carl Dwyer,Stolle,,M,C,26,Yes,Not Sure,No,,VA - Virginia Beach City - 2017,,2013,,,VA - Virginia Beach City,2017,right_only,independent City,51810,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3873,,,,,,7330,Gregory,Underwood,,M,AA,10,Yes,Not Sure,No,,VA - Norfolk City - 2017,,2013,,,VA - Norfolk City,2017,right_only,independent City,51710,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
3874,,,,,,7266,Jerry Allen,Wolf,,M,C,26,Yes,Not Sure,No,,VA - Bristol City - 2017,,2013,,,VA - Bristol City,2017,right_only,independent City,51520,https://www.vdh.virginia.gov/OEMS/Files_page/shared/fips.pdf
992,17163,St. Clair,IL - St. Clair,IL,,,,,,,,,,,,,,,,,,,,left_only,"ISSUE: THE DA IS CONFUSED WITH THE ST. CLAIR MI, see rows highlighted in RED below",,
1692,26121,Muskegon,MI - Muskegon,MI,,,DJ,Hilson,,M,C,,Yes,,,,,,,,,,,left_only,ISSUE: MISSING? http://www.co.st-clair.il.us/government/officials/Pages/statesAttorney.aspx,,
1729,27015,Brown,MN - Brown,MN,,,Chuck ,Hanson,,M,C,,Yes,,,,2014,,,,,,2018,left_only,ISSUE MISSING? https://www.co.brown.mn.us/county-attorney-home: https://www.facebook.com/863589083671300/photos/a.863589653671243.1073741825.863589083671300/902209559809252/?type=1&theater,,
1738,27031,Cook,MN - Cook,MN,,,Molly ,Hicken,,F,C,,Yes,,,,,,,,,,,left_only,ISSUE MISSING? http://www.co.cook.mn.us/2016site/index.php/attorney,,
1754,27063,Jackson,MN - Jackson,MN,,,Sherry E. ,Haley ,,F,C,,Yes,,,,,,,,,,,left_only,ISSUE MISSING? http://www.co.jackson.mn.us/attorneyhttp://www.co.jackson.mn.us/attorney,,
1779,27111,Otter Tail,MN - Otter Tail,MN,,,David,Hauser,,M,C,,Yes,,,,,,,,,,,left_only,ISSUE MISSING? http://www.co.otter-tail.mn.us/145/Attorney: http://millelacscountytimes.com/2013/12/19/assistant-da-saterbak-honored-by-association/,,
1793,27139,Scott,MN - Scott,MN,,,,,,,,,,,,,,,,,,,,left_only,,,
1794,27141,Sherburne,MN - Sherburne,MN,,,,,,,,,,,,,,,,,,,,left_only,,,
1810,27173,Yellow Medicine,MN - Yellow Medicine,MN,,,,,,,,,,,,,,,,,,,,left_only,,,
1811,28001,Adams,MS - District 6,MS,,,,,,,,,,,,,,,,,,,,left_only,,,
1812,28005,Amite,MS - District 6,MS,,,,,,,,,,,,,,,,,,,,left_only,,,
1813,28037,Franklin,MS - District 6,MS,,,,,,,,,,,,,,,,,,,,left_only,,,
1814,28157,Wilkinson,MS - District 6,MS,,,,,,,,,,,,,,,,,,,,left_only,,,
1895,29005,Atchison,MO - Atchison,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
1921,29055,Crawford,MO - Crawford,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
1939,29091,Howell,MO - Howell,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
1961,29135,Moniteau,MO - Moniteau,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
1972,29157,Perry,MO - Perry,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
1978,29169,Pulaski,MO - Pulaski,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
2003,29221,Washington,MO - Washington,MO,,,,,,,,,,,,,,,,,,,,left_only,,,
2013,30003,Big Horn,MT - Big Horn,MT,,,,,,,,,,,,,,,,,,,,left_only,,,
2014,30005,Blaine,MT - Blaine,MT,,,,,,,,,,,,,,,,,,,,left_only,,,
2021,30019,Daniels,MT - Daniels,MT,,,,,,,,,,,,,,,,,,,,left_only,,,
2039,30055,McCone,MT - McCone,MT,,,,,,,,,,,,,,,,,,,,left_only,,,
2065,30107,Wheatland,MT - Wheatland,MT,,,,,,,,,,,,,,,,,,,,left_only,,,
2074,31013,Box Butte,NE - Box Butte,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2075,31015,Boyd,NE - Boyd,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2081,31027,Cedar,NE - Cedar,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2090,31045,Dawes,NE - Dawes,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2101,31067,Gage,NE - Gage,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2123,31111,Lincoln,NE - Lincoln,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2128,31121,Merrick,NE - Merrick,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2136,31137,Phelps,NE - Phelps,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2138,31141,Platte,NE - Platte,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2155,31175,Valley,NE - Valley,NE,,,,,,,,,,,,,,,,,,,,left_only,,,
2168,32015,Lander,NV - Lander,NV,,,,,,,,,,,,,,,,,,,,left_only,,,
2169,32017,Lincoln,NV - Lincoln,NV,,,,,,,,,,,,,,,,,,,,left_only,,,
2175,32031,Washoe,NV - Washoe,NV,,,,,,,,,,,,,,,,,,,,left_only,,,
2188,33019,Sullivan,NH - Sullivan,NH,,,,,,,,,,,,,,,,,,,,left_only,,,
3115,48035,Bosque,TX - 220nd Judicial District,TX,220th,,,,,,,,,,,,,,,,,,,left_only,,,
3116,48093,Comanche,TX - 220nd Judicial District,TX,220th,,,,,,,,,,,,,,,,,,,left_only,,,
3117,48193,Hamilton,TX - 220nd Judicial District,TX,220th,,,,,,,,,,,,,,,,,,,left_only,,,
3287,48173,Glasscock,TX - Glasscock,TX,Glasscock,,,,,,,,,,,,,,,,,,,left_only,,,
3332,48259,Kendall,TX - Kendall,TX,Kendall,,,,,,,,,,,,,,,,,,,left_only,,,
3339,48287,Lee,TX - Lee,TX,Lee,,,,,,,,,,,,,,,,,,,left_only,,,
3359,48343,Morris,TX - Morris,TX,Morris,,,,,,,,,,,,,,,,,,,left_only,,,
3375,48371,Pecos,TX - Pecos,TX,Pecos,,,,,,,,,,,,,,,,,,,left_only,,,
3386,48409,San Patricio,TX - 36th Judicial District,TX,36th,,,,,,,,,,,,,,,,,,,left_only,,,
3403,48451,Tom Green,TX - Tom Green,TX,Tom Green,,,,,,,,,,,,,,,,,,,left_only,,,
0,0,Carson City,NV - Carson City,NV,,5728,Jason,Woodbury,,M,C,19,Yes,Not Sure,No,,NV - Carson City - 2018,,2014,,,NV - Carson City,2018,both,,,
1,32510,Carson City,NV - Carson City,NV,,5728,Jason,Woodbury,,M,C,19,Yes,Not Sure,No,,NV - Carson City - 2018,,2014,,,NV - Carson City,2018,both,,,
2,1001,Autauga,AL - 19th Circuit,AL,,4321,Casey Nicole,Biggs,,F,C,26,No,Yes,No,No,AL - 19th Circuit - 2016,,,,,AL - 19th Circuit,2016,both,,,
3,1001,Autauga,AL - 19th Circuit,AL,,4320,Randall,Houston,,M,C,26,Yes,Yes,No,Yes,AL - 19th Circuit - 2016,2001,2010,,,AL - 19th Circuit,2016,both,,,
4,1021,Chilton,AL - 19th Circuit,AL,,4321,Casey Nicole,Biggs,,F,C,26,No,Yes,No,No,AL - 19th Circuit - 2016,,,,,AL - 19th Circuit,2016,both,,,
5,1021,Chilton,AL - 19th Circuit,AL,,4320,Randall,Houston,,M,C,26,Yes,Yes,No,Yes,AL - 19th Circuit - 2016,2001,2010,,,AL - 19th Circuit,2016,both,,,
6,1051,Elmore,AL - 19th Circuit,AL,,4321,Casey Nicole,Biggs,,F,C,26,No,Yes,No,No,AL - 19th Circuit - 2016,,,,,AL - 19th Circuit,2016,both,,,
7,1051,Elmore,AL - 19th Circuit,AL,,4320,Randall,Houston,,M,C,26,Yes,Yes,No,Yes,AL - 19th Circuit - 2016,2001,2010,,,AL - 19th Circuit,2016,both,,,
8,1003,Baldwin,AL - 28th Circuit,AL,,4336,Hallie,Dixon,,F,C,26,Yes,No,No,,AL - 28th Circuit - 2016,2011,2010,,http://blog.al.com/live/2013/06/fired_employee_sues_baldwin_di.html,AL - 28th Circuit,2016,both,,,
9,1003,Baldwin,AL - 28th Circuit,AL,,4337,Robert,Wilters,,M,C,26,No,Yes,No,Yes,AL - 28th Circuit - 2016,,,,,AL - 28th Circuit,2016,both,,,
10,1005,Barbour,AL - 3rd Circuit,AL,,4290,Ben,Reeves,,M,C,10,Yes,Yes,No,,AL - 3rd Circuit - 2016,2010,2010,,,AL - 3rd Circuit,2016,both,,,
