,fips_code,county_name,district,state,GEO_display-label,id,first_name,last_name,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,first_year_elected,last_year_elected,percent_vote,next_election,wa,ba,ia,aa,na,hispanic,tot_tom,tot_persons_color,total_pop,perc_persons_color,majority-minority
25,01047,Dallas,AL - 4th Circuit,AL,"Dallas County, Alabama",4291,Michael,Jackson,Male,Black or African American,10,Yes,Yes,No,Yes,2010,2010,,2016,11668.0,28511.0,79.0,171.0,11.0,371.0,320.0,29463.0,41131,0.716321023073,minority
34,01065,Hale,AL - 4th Circuit,AL,"Hale County, Alabama",4291,Michael,Jackson,Male,Black or African American,10,Yes,Yes,No,Yes,2010,2010,,2016,6082.0,8652.0,26.0,36.0,1.0,170.0,101.0,8986.0,15068,0.596363153703,minority
54,01105,Perry,AL - 4th Circuit,AL,"Perry County, Alabama",4291,Michael,Jackson,Male,Black or African American,10,Yes,Yes,No,Yes,2010,2010,,2016,2936.0,6454.0,20.0,49.0,5.0,131.0,57.0,6716.0,9652,0.695814338997,minority
67,01131,Wilcox,AL - 4th Circuit,AL,"Wilcox County, Alabama",4291,Michael,Jackson,Male,Black or African American,10,Yes,Yes,No,Yes,2010,2010,,2016,3085.0,7759.0,23.0,14.0,2.0,106.0,70.0,7974.0,11059,0.721041685505,minority
81,04023,Santa Cruz,AZ - Santa Cruz,AZ,"Santa Cruz County, Arizona",4370,George,Silva,Male,Hispanic or Latino,10,Yes,Yes,No,U,,2012,,2016,7238.0,206.0,154.0,249.0,9.0,38222.0,383.0,39223.0,46461,0.844213426315,minority
171,06025,Imperial,CA - Imperial,CA,"Imperial County, California",4413,Gilbert,Otero,Male,Hispanic or Latino,19,Yes,Not Sure,No,,1994,2014,,2018,21480.0,4579.0,1512.0,2481.0,110.0,146913.0,3116.0,158711.0,180191,0.880793158371,minority
174,06031,Kings,CA - Kings,CA,"Kings County, California",4416,Keith,Fagundes,Male,Hispanic or Latino,19,Yes,Not Sure,No,,2015,2014,,2018,50101.0,9266.0,1327.0,5846.0,288.0,78675.0,5462.0,100864.0,150965,0.668128374126,minority
177,06037,Los Angeles,CA - Los Angeles,CA,"Los Angeles County, California",4419,Jackie,Lacey,Female,Black or African American,19,Yes,Yes,No,U,2012,2012,,2016,2707415.0,824160.0,19957.0,1462534.0,24132.0,4830413.0,301681.0,7462877.0,10170292,0.733791812467,minority
188,06059,Orange,CA - Orange,CA,"Orange County, California",4430,Tony,Rackauckas,Male,Two or more races,19,Yes,Not Sure,No,,1998,2014,,2018,1312967.0,51315.0,6495.0,621864.0,9115.0,1062710.0,105310.0,1856809.0,3169776,0.585785557087,minority
194,06071,San Bernardino,CA - San Bernardino,CA,"San Bernardino County, California",4436,Michael,Ramos,Male,Hispanic or Latino,19,Yes,Not Sure,No,,2002,2014,,2018,637558.0,175578.0,8462.0,144159.0,6313.0,1082756.0,73307.0,1490575.0,2128133,0.700414400792,minority
