,fips_code,county_name,district,state,GEO_display-label,id,first_name,last_name,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,first_year_elected,last_year_elected,percent_vote,next_election,wa,ba,ia,aa,na,hispanic,tot_tom,tot_persons_color,total_pop,perc_persons_color,majority-minority
5,01007,Bibb,AL - 4th Circuit,AL,"Bibb County, Alabama",4291,Michael,Jackson,Male,Black or African American,10,Yes,Yes,No,Yes,2010,2010,,2016,16724.0,4980.0,89.0,52.0,10.0,520.0,208.0,5859.0,22583,0.259442943807,majority
163,06009,Calaveras,CA - Calaveras,CA,"Calaveras County, California",4405,Barbara,Yook,Female,Black or African American,19,Yes,Not Sure,No,,2010,2014,,2018,36666.0,390.0,551.0,635.0,86.0,4859.0,1641.0,8162.0,44828,0.182073703935,majority
641,17169,Schuyler,IL - Schuyler,IL,"Schuyler County, Illinois",4800,Ramon,Escapa,Male,Hispanic or Latino,10,Yes,Yes,No,U,2013,2012,,2016,6582.0,243.0,11.0,26.0,0.0,132.0,38.0,450.0,7032,0.0639931740614,majority
678,18039,Elkhart,IN - Elkhart,IN,"Elkhart County, Indiana",4846,Curtis,Hill,Male,Black or African American,26,Yes,Not Sure,No,,,2014,,2018,153724.0,11907.0,413.0,2275.0,71.0,30294.0,4790.0,49750.0,203474,0.244502983182,majority
703,18089,Lake,IN - Lake,IN,"Lake County, Indiana",4871,Bernard,Carter,Male,Black or African American,10,Yes,Not Sure,No,,,2014,,2018,266370.0,116969.0,889.0,7253.0,113.0,87339.0,8932.0,221495.0,487865,0.454008793416,majority
847,19193,Woodbury,IA - Woodbury,IA,"Woodbury County, Iowa",5014,Patrick,Jennings,Male,Black or African American,10,Yes,Not Sure,No,,,2014,,2018,76908.0,2903.0,1555.0,2742.0,154.0,15590.0,2930.0,25874.0,102782,0.251736685412,majority
857,20013,Brown,KS - Brown,KS,"Brown County, Kansas",5022,Kevin,Hill,Male,Black or African American,26,Yes,Yes,No,U,,,,2016,8198.0,138.0,775.0,38.0,4.0,339.0,284.0,1578.0,9776,0.161415711948,majority
869,20037,Crawford,KS - Crawford,KS,"Crawford County, Kansas",5035,Michael,"Gayoso, Jr.",Male,Hispanic or Latino,26,Yes,Yes,No,U,2008,2012,,2016,34209.0,854.0,375.0,654.0,97.0,1983.0,1045.0,5008.0,39217,0.127699722059,majority
917,20133,Neosho,KS - Neosho,KS,"Neosho County, Kansas",5083,Linus,Thuston,Male,Black or African American,26,Yes,Not Sure,No,,,,,2016,14724.0,204.0,145.0,122.0,3.0,839.0,309.0,1622.0,16346,0.0992291692157,majority
1107,22061,Lincoln,LA - 3rd District,LA,"Lincoln Parish, Louisiana",5182,John,Belton,Male,Black or African American,19,Yes,Not Sure,No,,,2014,,2020,25343.0,19633.0,140.0,734.0,22.0,1307.0,595.0,22431.0,47774,0.4695231716,majority
1132,22111,Union,LA - 3rd District,LA,"Union Parish, Louisiana",5182,John,Belton,Male,Black or African American,19,Yes,Not Sure,No,,,2014,,2020,15434.0,5788.0,71.0,34.0,16.0,960.0,174.0,7043.0,22477,0.313342527917,majority
1228,26065,Ingham,MI - Ingham,MI,"Ingham County, Michigan",5297,Stuart,Dunnings III,Male,Black or African American,10,Yes,No,No,,1997,2012,,2016,201982.0,32953.0,1247.0,18325.0,130.0,20490.0,10958.0,84103.0,286085,0.293979062167,majority
1342,27123,Ramsey,MN - Ramsey,MN,"Ramsey County, Minnesota",5411,John,Choi,Male,Asian American or Pacific Islander,19,Yes,Not Sure,No,,,2014,,2018,341493.0,61114.0,3116.0,76710.0,204.0,37136.0,18360.0,196640.0,538133,0.36541152466,majority
1411,28087,Lowndes,MS - District 16,MS,"Lowndes County, Mississippi",5452,Scott,Colom,Male,Black or African American,10,Yes,Not Sure,No,,2016,2015,,2019,31096.0,26204.0,116.0,413.0,43.0,1130.0,708.0,28614.0,59710,0.47921621169,majority
1420,28105,Oktibbeha,MS - District 16,MS,"Oktibbeha County, Mississippi",5452,Scott,Colom,Male,Black or African American,10,Yes,Not Sure,No,,2016,2015,,2019,28293.0,18348.0,98.0,1671.0,33.0,789.0,568.0,21507.0,49800,0.43186746988,majority
1518,29135,Moniteau,MO - Moniteau,MO,"Moniteau County, Missouri",7824,Shayne,Healea,Male,Black or African American,26,Yes,Not Sure,No,,2011,2014,,2018,14213.0,646.0,59.0,54.0,8.0,782.0,201.0,1750.0,15963,0.109628515943,majority
1634,31021,Burt,NE - Burt,NE,"Burt County, Nebraska",5645,Francis,Barron III,Male,Unknown or Other,26,Yes,Not Sure,No,,,2014,,2018,6159.0,29.0,112.0,21.0,1.0,180.0,83.0,426.0,6585,0.0646924829157,majority
1648,31049,Deuel,NE - Deuel,NE,"Deuel County, Nebraska",5659,Joel,Jay,Male,Unknown or Other,40,Yes,Not Sure,No,,,2014,,2018,1744.0,4.0,18.0,8.0,0.0,117.0,30.0,177.0,1921,0.0921395106715,majority
1661,31075,Grant,NE - Grant,NE,"Grant County, Nebraska",5672,Terry,Curtis,Male,Unknown or Other,40,Yes,Not Sure,Yes,,,2014,,2018,622.0,1.0,2.0,1.0,0.0,9.0,6.0,19.0,641,0.0296411856474,majority
1757,35027,Lincoln,NM - District 12,NM,"Lincoln County, New Mexico",5776,David,Ceballes,Male,Hispanic or Latino,26,Yes,Yes,Yes,No,2016,,,2016,12324.0,120.0,523.0,85.0,7.0,6073.0,288.0,7096.0,19420,0.365396498455,majority
1774,35059,Union,NM - District 8,NM,"Union County, New Mexico",5770,Donald,Gallegos,Male,Hispanic or Latino,10,Yes,Yes,No,Yes,,2012,,2016,2233.0,75.0,60.0,21.0,1.0,1725.0,86.0,1968.0,4201,0.468459890502,majority
1776,36001,Albany,NY - Albany,NY,"Albany County, New York",5779,David,Soares,Male,Black or African American,10,Yes,Not Sure,No,,2005,2012,,2016,225977.0,39110.0,476.0,18770.0,129.0,16893.0,8026.0,83404.0,309381,0.269583458583,majority
1901,37127,Nash,NC - District 7,NC,"Nash County, North Carolina",6355,Robert,Evans,Male,Black or African American,10,Yes,Not Sure,No,,2009,2014,,2018,47967.0,36902.0,601.0,814.0,23.0,5945.0,1667.0,45952.0,93919,0.489272671132,majority
2133,40109,Oklahoma,OK - District 7,OK,"Oklahoma County, Oklahoma",6579,David,Prater,Male,American Indian or Alaska Native,10,Yes,Not Sure,No,,,2014,,2018,443941.0,117758.0,24190.0,26349.0,526.0,123637.0,40463.0,332923.0,776864,0.428547339045,majority
2289,45055,Kershaw,SC - 5th Circuit,SC,"Kershaw County, South Carolina",6718,Daniel,Johnson,Male,Black or African American,10,Yes,Not Sure,No,,,2014,,2018,43513.0,15791.0,191.0,499.0,28.0,2565.0,1016.0,20090.0,63603,0.315865603824,majority
2349,46079,Lake,SD - Lake,SD,"Lake County, South Dakota",6770,Manny,de Castro,Male,Hispanic or Latino,26,Yes,Yes,Yes,U,2015,,,2016,11816.0,109.0,93.0,154.0,3.0,281.0,166.0,806.0,12622,0.0638567580415,majority
2372,46125,Turner,SD - Turner,SD,"Turner County, South Dakota",6795,Katelynn,Hoffman,Female,Unknown or Other,40,Yes,Not Sure,Yes,,2015,,,2016,7838.0,35.0,54.0,20.0,4.0,168.0,90.0,371.0,8209,0.0451942989402,majority
2494,48041,Brazos,TX - 85th Judicial District,TX,"Brazos County, Texas",6857,Jarvis,Parsons,Male,Black or African American,26,Yes,Yes,No,,,2012,,2016,122311.0,23041.0,618.0,12315.0,153.0,52606.0,3993.0,92726.0,215037,0.431209512782,majority
2604,48257,Kaufman,TX - Kaufman,TX,"Kaufman County, Texas",7032,Erliegh Norville,Wiley,Female,Black or African American,10,Yes,Not Sure,No,,2013,2014,,2018,76410.0,11950.0,582.0,1156.0,77.0,22459.0,2056.0,38280.0,114690,0.333769291133,majority
