,fips_code,county_name,district,state,GEO_display-label,id,first_name,last_name,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,first_year_elected,last_year_elected,percent_vote,next_election,wa,ba,ia,aa,na,hispanic,tot_tom,tot_persons_color,total_pop,perc_persons_color,majority-minority
0,32510,Carson City,NV - Carson City,NV,"Carson City, Nevada",5728,Jason,Woodbury,Male,White,19,Yes,Not Sure,No,,,2014,,2018,37105.0,994.0,1114.0,1282.0,115.0,12332.0,1579.0,17416.0,54521,0.319436547385,majority
1,32510,Carson City,NV - Carson City,NV,"Carson City, Nevada",5728,Jason,Woodbury,Male,White,19,Yes,Not Sure,No,,,2014,,2018,37105.0,994.0,1114.0,1282.0,115.0,12332.0,1579.0,17416.0,54521,0.319436547385,majority
2,01001,Autauga,AL - 19th Circuit,AL,"Autauga County, Alabama",4320,Randall,Houston,Male,White,26,Yes,Yes,No,Yes,2001,2010,,2016,41459.0,10493.0,228.0,653.0,36.0,1486.0,992.0,13888.0,55347,0.250925976114,majority
3,01003,Baldwin,AL - 28th Circuit,AL,"Baldwin County, Alabama",4336,Hallie,Dixon,Female,White,26,Yes,No,No,U,2011,2010,,2016,168996.0,19088.0,1339.0,1885.0,95.0,8925.0,3381.0,34713.0,203709,0.170404842201,majority
6,01009,Blount,AL - 41st Circuit,AL,"Blount County, Alabama",4356,Pamela,Casey,Female,White,26,Yes,Yes,No,Yes,2011,2010,,2016,50403.0,987.0,288.0,159.0,19.0,5067.0,750.0,7270.0,57673,0.126055519914,majority
8,01013,Butler,AL - 2nd Circuit,AL,"Butler County, Alabama",4289,Charlotte,Tesmer,Female,White,10,Yes,Yes,Yes,U,2012,,,2016,10639.0,8863.0,67.0,193.0,9.0,227.0,156.0,9515.0,20154,0.472114716682,majority
9,01015,Calhoun,AL - 7th Circuit,AL,"Calhoun County, Alabama",4300,Brian,McVeigh,Male,White,26,Yes,Yes,Yes,U,2011,2010,,2016,83958.0,24126.0,475.0,968.0,93.0,3980.0,2020.0,31662.0,115620,0.273845355475,majority
10,01017,Chambers,AL - 5th Circuit,AL,"Chambers County, Alabama",4293,E. Paul,Jones,Male,White,10,Yes,No,No,,2004,2010,,2016,19239.0,13456.0,72.0,314.0,11.0,656.0,375.0,14884.0,34123,0.436186736219,majority
11,01019,Cherokee,AL - 9th Circuit,AL,"Cherokee County, Alabama",4302,Michael,O'Dell,Male,White,10,Yes,Yes,No,U,1996,2010,,2016,23613.0,1217.0,135.0,61.0,1.0,385.0,447.0,2246.0,25859,0.0868556402026,majority
12,01021,Chilton,AL - 19th Circuit,AL,"Chilton County, Alabama",4320,Randall,Houston,Male,White,26,Yes,Yes,No,Yes,2001,2010,,2016,35270.0,4464.0,138.0,173.0,12.0,3313.0,573.0,8673.0,43943,0.197369319346,majority
