,fips_code,county_name,district,state,State_Abbreviation,State_Code,FIPS_code,Full_County_Name,H1,County_Name,FIPS,_merge,
3133,,,,,AK,2,13,Aleutians East Borough,H1,Aleutians East Borough,2013,right_only,Done
3134,,,,,AK,2,16,Aleutians West Census Area,H5,Aleutians West Census Area,2016,right_only,Done
3135,,,,,AK,2,60,Bristol Bay Borough,H1,Bristol Bay Borough,2060,right_only,Done
3136,,,,,AK,2,68,Denali Borough,H1,Denali Borough,2068,right_only,Done
3137,,,,,AK,2,100,Haines Borough,H1,Haines Borough,2100,right_only,Done
3138,,,,,AK,2,105,Hoonah-Angoon Census Area,H5,Hoonah-Angoon Census Area,2105,right_only,Done
3139,,,,,AK,2,164,Lake and Peninsula Borough,H1,Lake and Peninsula Borough,2164,right_only,Done
3140,,,,,AK,2,185,North Slope Borough,H1,North Slope Borough,2185,right_only,Done
3141,,,,,AK,2,195,Petersburg Census Area,H5,Petersburg Census Area,2195,right_only,Done
3142,,,,,AK,2,198,Prince of Wales-Hyder Census Area,H5,Prince of Wales-Hyder Census Area,2198,right_only,Done
3143,,,,,AK,2,230,Skagway Municipality,H1,Skagway Municipali,2230,right_only,Done
3144,,,,,AK,2,240,Southeast Fairbanks Census Area,H5,Southeast Fairbanks Census Area,2240,right_only,Done
3145,,,,,AK,2,261,Valdez-Cordova Census Area,H5,Valdez-Cordova Census Area,2261,right_only,Done
3146,,,,,AK,2,270,Wade Hampton Census Area,H5,Wade Hampton Census Area,2270,right_only,Done
3147,,,,,AK,2,275,Wrangell City and Borough,H1,Wrangell City and Borough,2275,right_only,Done
3148,,,,,AK,2,282,Yakutat City and Borough,H1,Yakutat City and Borough,2282,right_only,Done
3149,,,,,AK,2,290,Yukon-Koyukuk Census Area,H5,Yukon-Koyukuk Census Area,2290,right_only,Done
3150,,,,,GA,13,53,Chattahoochee County,H1,hattahoochee,13053,right_only,Done
3151,,,,,GA,13,59,Clarke County,H6,larke,13059,right_only,Done
3152,,,,,HI,15,5,Kalawao County,H4,Kalawa,15005,right_only,Done
3153,,,,,HI,15,9,Maui County,H1,Maui,15009,right_only,Done
3154,,,,,MA,25,11,Franklin County,H4,Frankli,25011,right_only,Done
3155,,,,,TX,48,271,Kinney County,H1,Kinne,48271,right_only,Done
3156,,,,,VA,51,515,Bedford city,C7,Bedford ci,51515,right_only,Done
3157,,,,,VA,51,580,Covington city,C7,vington ci,51580,right_only,Done
3158,,,,,VA,51,640,Galax city,C7,Galax ci,51640,right_only,Done
3159,,,,,VA,51,678,Lexington city,C7,Lexington ci,51678,right_only,Done
3160,,,,,VA,51,680,Lynchburg city,C7,Lynchburg ci,51680,right_only,Done
3161,,,,,VA,51,720,Norton city,C7,Norton ci,51720,right_only,Done
3162,,,,,VA,51,735,Poquoson city,C7,Poquoson ci,51735,right_only,Done
3163,,,,,VA,51,840,Winchester city,C7,Winchester ci,51840,right_only,Done
3164,,,,,AS,60,10,Eastern District,H1,Eastern Distric,60010,right_only,
3165,,,,,AS,60,20,Manu'a District,H1,Manu'a Distric,60020,right_only,
3166,,,,,AS,60,30,Rose Island,H4,Rose Island,60030,right_only,
3167,,,,,AS,60,40,Swains Island,H4,Swains Island,60040,right_only,
3168,,,,,AS,60,50,Western District,H1,Western Distric,60050,right_only,
3169,,,,,GU,66,10,Guam,H4,Guam,66010,right_only,
3170,,,,,MP,69,85,Northern Islands Municipality,H1,Northern Islands Municipali,69085,right_only,
3171,,,,,MP,69,100,Rota Municipality,H1,Rota Municipali,69100,right_only,
3172,,,,,MP,69,110,Saipan Municipality,H1,Saipan Municipali,69110,right_only,
3173,,,,,MP,69,120,Tinian Municipality,H1,Tinian Municipali,69120,right_only,
