fips_code,county_name,district,state,,notes_x,id,first_name,last_name,image,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,election,first_year_elected,last_year_elected,percent_vote,notes_y,district_id,next_election,_merge,Notes,Flag ,Source
44007,Providence,Providence,RI,RI - Providence,,,Peter F.,Kilmartin,,M,C,,Yes,,No,Yes,,2010,2014,,state-wide representation,,2018,,"
","One attorney serves entire state, however RI attorney is based in Providence, so that county is listed.",http://www.ri.gov/election/results/2010/general_election/races/106.html
10001,Kent,Kent,DE,DE - Kent,,,Matt,Denn,,M,C,,Yes,,No,Yes,,2014,,,state-wide representation,,2018,,,"One attorney serves entire state, however DE attorney is based in Kent, so that county is listed.",http://www.delawareonline.com/story/news/politics/2014/11/04/denn-elected-ag/18497343/
11001,District of Columbia,Columbia,DC,DC - Columbia,,,Karl A.,Racine,,M,AA,,Yes,,No,Yes,,2014,,,state-wide representation,,2018,,"D.C. Attorney Gen is an elected position (vs appointed as listed in spreadsheet). This change was made for elected position beginning in 
2015. https://en.wikipedia.org/wiki/Attorney_General_of_the_District_of_Columbia#2014_election DC","
",http://oag.dc.gov/biography/karl-racine
34001,Atlantic ,Camden Judicial District,NJ,NJ - Camden Judicial District,,,Diane,Ruberton,,F,C,,Yes,,Yes,,,2016,,,,,,,Acting prosecutor,,http://www.pressofatlanticcity.com/news/diane-ruberton-named-acting-atlantic-county-prosecutor/article_13e2a6b2-58d4-11e6-83ab-6b792bf7c2a3.html
34003,Bergen ,Newark Judicial District,NJ,NJ - Newark Judicial District,,,Gurbir,Grewal,,M,A,,Yes,,Yes,,,2016,,,,,,,First south asian prosector to be appointed,,http://www.northjersey.com/news/glen-rock-attorney-sworn-in-as-bergen-county-prosecutor-1.1484788
34005,Burlington ,Camden Judicial District,NJ,NJ - Camden Judicial District,,,Robert D.,Bernardi ,,M,C,,Yes,,Yes,,,1999,,,,,,,"Nominated 3 consective times, 5 year sentences.",,http://www.co.burlington.nj.us/262/Prosecutor
34007,Camden,Camden Judicial District,NJ,NJ - Camden Judicial District,,,Mary E.,Colalillo,,F,C,,Yes,,Yes,,,2014,,,,,,,,,http://camdencountypros.org/staff/
34009,Cape May,Camden Judicial District,NJ,NJ - Camden Judicial District,,,Robert L. ,Taylor,,M,C,,Yes,,Yes,,,2004,,,,,,,"After 2 elected tenures, critics started to talk about amount of time in position.",,http://www.nj.com/news/index.ssf/2010/11/gov_christie_renominates_cape.html
34011,Cumberland,Camden Judicial District,NJ,NJ - Camden Judicial District,,,Jennifer,Webb-McRae,,F,C,,Yes,,Yes,,,2010,,,,,,,,,http://www.nj.com/cumberland/index.ssf/2010/01/jennifer_webb-mcrae_is_sworn_i.html
34013,Essex,Newark Judicial District,NJ,NJ - Newark Judicial District,,,Carolyn A.,Murray,,F,C,,Yes,,Yes,,,2011,,,,,,,,,http://www.nj.com/news/index.ssf/2011/02/carolyn_murray_swears_in_as_ne.html
34015,Gloucester,Camden Judicial District,NJ,NJ - Camden Judicial District,,,Sean F. ,Dalton II,,M,C,Democratic,Yes,,Yes,,,2002,,,,,,,,,https://en.wikipedia.org/wiki/Sean_F._Dalton
34017,Hudson,Newark Judicial District,NJ,NJ - Newark Judicial District,,,Esther,Suarez,,F,H,,Yes,,Yes,,,2015,,,,,,,"First female in position, for Hudson Cnty",,http://www.nj.com/hudson/index.ssf/2015/07/esther_suarez_sworn_in_as_hudson_countys_new_prose.html
34019,Hunterdon,Trenton Judicial Disctrict,NJ,NJ - Trenton Judicial Disctrict,,,Anthony P.,Kearns III,,M,C,Republican,Yes,,Yes,,,2010,,,,,2015,,,,http://www.nj.com/hunterdon-county-democrat/index.ssf/2010/11/anthony_kearns_iii_is_confirme.html
34021,Mercer,Trenton Judicial Disctrict,NJ,NJ - Trenton Judicial Disctrict,,,Angelo,Onofri,,M,C,,Yes,,Yes,,,2015,,,,,,,,,http://www.nj.com/mercer/index.ssf/2015/02/mercer_county_1.html
34023,Middlesex,Newark (northern) / Trenton (southern),NJ,NJ - Newark Judicial District (northern) - ,,,Andrew C.,Carey,,M,C,,Yes,,Yes,,,2014,,,,,,,,,http://www.nj.com/middlesex/index.ssf/2014/06/andrew_carey_will_be_sworn_in_as_middlesex_county_prosecutor_friday.html
