,fips_code,county_name,district,state,GEO_display-label,id,first_name,last_name,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,first_year_elected,last_year_elected,percent_vote,next_election,wa,ba,ia,aa,na,hispanic,tot_tom,tot_persons_color,total_pop,perc_persons_color,majority-minority
4,01005,Barbour,AL - 3rd Circuit,AL,"Barbour County, Alabama",4290,Ben,Reeves,Male,White,10,Yes,Yes,No,U,2010,2010,,2016,12340.0,12529.0,63.0,118.0,24.0,1159.0,256.0,14149.0,26489,0.534146249387,minority
7,01011,Bullock,AL - 3rd Circuit,AL,"Bullock County, Alabama",4290,Ben,Reeves,Male,White,10,Yes,Yes,No,U,2010,2010,,2016,2386.0,7373.0,28.0,25.0,4.0,763.0,117.0,8310.0,10696,0.776925953628,minority
33,01063,Greene,AL - 17th Circuit,AL,"Greene County, Alabama",4317,Gregory,Griggers,Male,White,10,Yes,Yes,No,Yes,2004,2010,,2016,1522.0,6781.0,15.0,18.0,0.0,84.0,59.0,6957.0,8479,0.8204977002,minority
44,01085,Lowndes,AL - 2nd Circuit,AL,"Lowndes County, Alabama",4289,Charlotte,Tesmer,Female,White,10,Yes,Yes,Yes,U,2012,,,2016,2681.0,7521.0,27.0,20.0,4.0,119.0,86.0,7777.0,10458,0.743641231593,minority
45,01087,Macon,AL - 5th Circuit,AL,"Macon County, Alabama",4293,E. Paul,Jones,Male,White,10,Yes,No,No,,2004,2010,,2016,3147.0,15324.0,33.0,61.0,3.0,253.0,284.0,15958.0,19105,0.835278722847,minority
47,01091,Marengo,AL - 17th Circuit,AL,"Marengo County, Alabama",4317,Gregory,Griggers,Male,White,10,Yes,Yes,No,Yes,2004,2010,,2016,9094.0,10141.0,52.0,57.0,8.0,497.0,179.0,10934.0,20028,0.545935690034,minority
52,01101,Montgomery,AL - 15th Circuit,AL,"Montgomery County, Alabama",4315,Daryl,Bailey,Male,White,10,Yes,Yes,Yes,U,2014,,,2016,81290.0,127977.0,470.0,6204.0,99.0,7428.0,3051.0,145229.0,226519,0.641133856321,minority
58,01113,Russell,AL - 26th Circuit,AL,"Russell County, Alabama",4333,Kenneth,Davis,Male,White,10,Yes,Yes,No,Yes,1983,2010,,2016,28809.0,25486.0,241.0,483.0,149.0,2982.0,1510.0,30851.0,59660,0.517113643983,minority
61,01119,Sumter,AL - 17th Circuit,AL,"Sumter County, Alabama",4317,Gregory,Griggers,Male,White,10,Yes,Yes,No,Yes,2004,2010,,2016,3311.0,9408.0,17.0,163.0,1.0,140.0,63.0,9792.0,13103,0.747309776387,minority
69,04001,Apache,AZ - Apache,AZ,"Apache County, Arizona",4358,Michael,Whiting,Male,White,10,Yes,Yes,No,U,,2012,,2016,13435.0,649.0,51365.0,235.0,38.0,4460.0,1292.0,58039.0,71474,0.812029549207,minority
74,04011,Greenlee,AZ - Greenlee,AZ,"Greenlee County, Arizona",4363,Derek,Rapier,Male,White,19,Yes,Not Sure,No,,,2012,,2016,4498.0,143.0,222.0,67.0,7.0,4355.0,237.0,5031.0,9529,0.527967257844,minority
78,04017,Navajo,AZ - Navajo,AZ,"Navajo County, Arizona",4367,Brad,Carlyon,Male,White,10,Yes,Yes,No,U,2008,2012,,2016,45318.0,1227.0,47105.0,706.0,90.0,11661.0,2170.0,62959.0,108277,0.581462360427,minority
83,04027,Yuma,AZ - Yuma,AZ,"Yuma County, Arizona",4372,Jon,Smith,Male,White,10,Yes,Yes,No,U,,2012,,2016,66594.0,4011.0,2059.0,2479.0,231.0,124808.0,4093.0,137681.0,204275,0.673998286623,minority
92,05017,Chicot,AR - 10th District,AR,"Chicot County, Arkansas",4384,Thomas,Deen,Male,White,19,Yes,Not Sure,No,,,2014,,2018,4377.0,5856.0,32.0,56.0,3.0,602.0,101.0,6650.0,11027,0.603065203591,minority
101,05035,Crittenden,AR - 2nd District,AR,"Crittenden County, Arkansas",4374,Scott,Ellington,Male,White,19,Yes,Not Sure,No,,2010,2014,,2018,21401.0,25307.0,151.0,351.0,7.0,1112.0,634.0,27562.0,48963,0.562914854073,minority
104,05041,Desha,AR - 10th District,AR,"Desha County, Arkansas",4384,Thomas,Deen,Male,White,19,Yes,Not Sure,No,,,2014,,2018,5536.0,5605.0,43.0,53.0,3.0,587.0,138.0,6429.0,11965,0.537317175094,minority
118,05069,Jefferson,AR - 11th District West,AR,"Jefferson County, Arkansas",4386,S. Kyle,Hunter,Male,White,19,Yes,Not Sure,No,,,2014,,2018,28756.0,39420.0,271.0,655.0,67.0,1391.0,1005.0,42809.0,71565,0.598183469573,minority
122,05077,Lee,AR - 1st District,AR,"Lee County, Arkansas",4373,Fletcher,"Long, Jr.",Male,White,19,Yes,Not Sure,No,,1992,2014,,2018,4010.0,5152.0,53.0,49.0,2.0,232.0,152.0,5640.0,9650,0.584455958549,minority
137,05107,Phillips,AR - 1st District,AR,"Phillips County, Arkansas",4373,Fletcher,"Long, Jr.",Male,White,19,Yes,Not Sure,No,,1992,2014,,2018,6945.0,11849.0,59.0,88.0,2.0,321.0,249.0,12568.0,19513,0.644083431558,minority
145,05123,St. Francis,AR - 1st District,AR,"St. Francis County, Arkansas",4373,Fletcher,"Long, Jr.",Male,White,19,Yes,Not Sure,No,,1992,2014,,2018,10801.0,13915.0,147.0,141.0,10.0,1171.0,404.0,15788.0,26589,0.593779382451,minority
159,06001,Alameda,CA - Alameda,CA,"Alameda County, California",4401,Nancy,O'Malley,Female,White,19,Yes,Not Sure,No,,2009,2014,,2018,532171.0,179327.0,4383.0,472992.0,13557.0,349610.0,86175.0,1106044.0,1638215,0.675151918399,minority
164,06011,Colusa,CA - Colusa,CA,"Colusa County, California",4406,John,Poyner,Male,White,19,Yes,Not Sure,No,,1986,2014,,2018,7769.0,194.0,269.0,319.0,67.0,12341.0,523.0,13713.0,21482,0.638348384694,minority
165,06013,Contra Costa,CA - Contra Costa,CA,"Contra Costa County, California",4407,Mark,Peterson,Male,White,19,Yes,Not Sure,No,,2011,2014,,2018,507108.0,99208.0,3238.0,182793.0,5230.0,270931.0,58237.0,619637.0,1126745,0.549935433483,minority
168,06019,Fresno,CA - Fresno,CA,"Fresno County, California",4410,Lisa,Smittcamp,Female,White,19,Yes,Not Sure,No,,2015,2014,,2018,296436.0,46113.0,5939.0,96805.0,1326.0,498836.0,29406.0,678425.0,974861,0.695919725992,minority
173,06029,Kern,CA - Kern,CA,"Kern County, California",4415,Lisa,Green,Female,White,19,Yes,Not Sure,No,,2010,2014,,2018,312645.0,46470.0,5674.0,39448.0,1094.0,449683.0,27162.0,569531.0,882176,0.645597930572,minority
178,06039,Madera,CA - Madera,CA,"Madera County, California",4420,David,Linn,Male,White,19,Yes,Not Sure,No,,2015,2014,,2018,54468.0,5164.0,1759.0,3194.0,158.0,86428.0,3827.0,100530.0,154998,0.648589014052,minority
182,06047,Merced,CA - Merced,CA,"Merced County, California",4424,Larry,Morse,Male,White,19,Yes,Not Sure,No,,2006,2014,,2018,77568.0,8323.0,1172.0,19967.0,548.0,152667.0,8210.0,190887.0,268455,0.711057719171,minority
185,06053,Monterey,CA - Monterey,CA,"Monterey County, California",4427,Dean,Flippo,Male,White,19,Yes,Not Sure,No,,,2014,,2018,133310.0,11169.0,1359.0,25590.0,1957.0,244316.0,16197.0,300588.0,433898,0.692761893348,minority
