State,Electoral.District,Office.Name,Official.Name,Sex,Race,Data.Version
AL,AL,Attorney General,Luther Strange,Male,White,summer_14
AL,Autauga County,District Attorney,Randall V Houston,Male,White,summer_14
AL,Baldwin County,District Attorney,Hallie Dixon,Female,White,summer_14
AL,Barbour County,District Attorney,"Ben C Reeves, Jr",Male,White,summer_14
AL,Bibb County,District Attorney,Michael W Jackson,Male,Black or African American,summer_14
AL,Blount County,District Attorney,Pamela L Casey,Female,White,summer_14
AL,Butler County,District Attorney,Charlotte Tesmer,Female,White,summer_14
AL,Calhoun County,District Attorney,Brian A. McVeigh,Male,White,summer_14
AL,Chambers County,District Attorney,E Paul Jones,Male,White,summer_14
AL,Cherokee County,District Attorney,Michael  O'Dell,Male,White,summer_14
AL,Choctaw County,District Attorney,Spencer B Walker,Male,White,summer_14
AL,Clay County,District Attorney,Fred W Thompson,Male,White,summer_14
AL,Coffee County,District Attorney,Tom Anderson,Male,White,summer_14
AL,Colbert County,District Attorney,Bryce U Graham Jr,Male,White,summer_14
AL,Conecuh County,District Attorney,Steve Wadlington,Male,White,summer_14
AL,Covington County,District Attorney,Walt Merrill,Male,White,summer_14
AL,Cullman County,District Attorney,C Wilson Blaylock,Male,White,summer_14
AL,Dale County,District Attorney,Kirke Adams,Male,White,summer_14
AL,Escambia County,District Attorney,Stephen M Billy,Male,White,summer_14
AL,Etowah County,District Attorney,Jimmie G Harp Jr,Male,White,summer_14
AL,Fayette County,District Attorney,J Christopher McCool,Male,White,summer_14
AL,Franklin County,District Attorney,Joseph S Rushing III,Male,White,summer_14
AL,Greene County,District Attorney,Gregory S Griggers,Male,White,summer_14
AL,Henry County,District Attorney,Douglas A Valeska,Male,White,summer_14
AL,Jackson County,District Attorney,Charles R Rhodes,Male,White,summer_14
AL,Jefferson County,District Attorney,Brandon K. Falls,Male,White,summer_14
AL,Lauderdale County,District Attorney,Christopher E Connolly,Male,White,summer_14
AL,Lawrence County,District Attorney,Errek Jett,Male,White,summer_14
AL,Lee County,District Attorney,Nick Abbett,Male,White,summer_14
AL,Limestone County,District Attorney,Brian C.T. Jones,Male,White,summer_14
AL,Madison County,District Attorney,Robert L. Broussard,Male,White,summer_14
AL,Marion County,District Attorney,John J Bostick,Male,White,summer_14
AL,Marshall County,District Attorney,Steven T Marshall,Male,White,summer_14
AL,Mobile County,District Attorney,Ashley Rich,Female,White,summer_14
AL,Montgomery County,District Attorney,Ellen Brooks,Female,White,summer_14
AL,Morgan County,District Attorney,Scott Anderson,Male,White,summer_14
AL,Russell County,District Attorney,Kenneth E Davis,Male,White,summer_14
AL,Shelby County,District Attorney,Robert E Owens Jr.,Male,White,summer_14
AL,St. Clair County,District Attorney,Richard J Minor,Male,White,summer_14
AL,Talladega County,District Attorney,Steven Giddens,Male,White,summer_14
AL,Tuscaloosa County,District Attorney,Thomas M Smith,Male,White,summer_14
AL,Walker County,District Attorney,William R Adair,Male,White,summer_14
AR,10th Judicial District ,Prosecuting Attorney,Thomas Deen,Male,White,summer_14
AR,11th East Judicial District ,Prosecuting Attorney,Robert Dittrich,Unknown,Unknown,summer_14
AR,11th West Judicial District ,Prosecuting Attorney,S. Kyle Hunter,Unknown,Unknown,summer_14
AR,12th Judicial District,Prosecuting Attorney,Daniel Shue,Male,White,summer_14
AR,13th Judicial District ,Prosecuting Attorney,Ian Vickery,Male,White,summer_14
AR,14th Judicial District,Prosecuting Attorney,Ron Kincade,Male,White,summer_14
AR,15th Judicial District,Prosecuting Attorney,Tom Tatum II,Unknown,Unknown,summer_14
AR,16th Judifcial District,Prosecuting Attorney,Don McSpadden,Male,White,summer_14
AR,17th Judicial District,Prosecuting Attorney,Chris Raff,Male,White,summer_14
AR,18th East Judicial District,Prosecuting Attorney,Steve Oliver,Male,White,summer_14
AR,18th West Judicial District,Prosecuting Attorney,Andy Riner,Male,White,summer_14
AR,19th East Judicial District,Prosecuting Attorney,Tony Rogers,Male,White,summer_14
AR,19th West Judifical Distric,Prosecuting Attorney,Van Stone,Unknown,Unknown,summer_14
AR,1st Judicial District ,Prosecuting Attorney,"Fletcher Long, Jr.",Male,White,summer_14
AR,20th Judicial District,Prosecuting Attorney,Cody Hiland,Male,White,summer_14
AR,21st Judicial District,Prosecuting Attorney,Marc McCune,Male,White,summer_14
AR,22nd Judicial District,Prosecuting Attorney,Ken Casady,Male,White,summer_14
AR,23rd Judicial District,Prosecuting Attorney,Chuck Graham,Male,White,summer_14
AR,2nd Judicial District ,Prosecuting Attorney,Scott Ellington,Male,White,summer_14
AR,3rd Judicial District ,Prosecuting Attorney,Henry Boyce,Male,White,summer_14
AR,4th Judicial District ,Prosecuting Attorney,Matt Durrett,Male,White,summer_14
AR,5th Judicial District ,Prosecuting Attorney,David Gibbons,Male,White,summer_14
AR,6th Judicial District,Prosecuting Attorney,Larry Jegley,Male,White,summer_14
AR,7th Judicial District ,Prosecuting Attorney,Stephen Shirron,Male,White,summer_14
AR,8th North Judicial District,Prosecuting Attorney,Christi McQueen,Female,White,summer_14
AR,8th South Judicial District,Prosecuting Attorney,Carlton Jones,Male,Black or African American,summer_14
AR,9th East Judicial District,Prosecuting Attorney,Blake Batson,Male,White,summer_14
AR,9th West Judicial District,Prosecuting Attorney,Bryan Chesshir,Male,White,summer_14
AR,AR,Attorney General,Dustin McDaniel,Male,White,summer_14
AZ,AZ,Attorney General,Tom Horne,Male,White,summer_14
AZ,Cochise County,Attorney,Edward G. Rheinheimer,Unknown,Unknown,summer_14
AZ,Coconino County,County Attorney,David Rozema,Male,White,summer_14
AZ,Gila County,Attorney,Bradley D. Beauchamp,Male,White,summer_14
AZ,Graham County,Attorney,Kenneth Angle,Male,White,summer_14
AZ,Greenlee County,Attorney,Derek Rapier,Male,White,summer_14
AZ,La Paz County,Attorney,Tony Rogers,Male,Black or African American,summer_14
AZ,Maricopa County,Attorney,Bill Montgomery,Male,White,summer_14
AZ,Mohave County,Attorney,Matthew Smith,Male,White,summer_14
AZ,Navajo County,County Attorney,Bradley Carlyon,Male,White,summer_14
AZ,Pima County,Attorney,Barbara LaWall,Female,White,summer_14
AZ,Pinal County,County Attorney,Lando Voyles,Male,White,summer_14
AZ,Santa Cruz County,Attorney,George Silva,Male,Hispanic or Latino,summer_14
AZ,Yavapai County,County Attorney,Sheila Polk,Female,White,summer_14
AZ,Yuma County,Attorney,Jon Smith,Male,White,summer_14
CA,Alameda County,District Attorney,Nancy O'Malley,Female,White,summer_14
CA,Alpine County,District Attorney,Terese Drabec,Female,White,summer_14
CA,Amador County,District Attorney,Todd Riebe,Male,White,summer_14
CA,Butte County,District Attorney,Michael Ramsey,Male,White,summer_14
CA,CA,Attorney General,Kamala Harris,Female,Multiracial,summer_14
CA,Calaveras County,District Attorney,Barbara Yook,Female,Asian American or Pacific Islander,summer_14
CA,Colusa County,District Attorney,John Poyner,Male,White,summer_14
CA,Contra Costa County,District Attorney,Mark A. Peterson,Male,White,summer_14
CA,Del Norte County,District Attorney,Vacant,Unknown,Unknown,summer_14
CA,El Dorado County,District Attorney,Vern Pierson,Male,White,summer_14
CA,Fresno County,District Attorney,Elizabeth Egan,Female,White,summer_14
CA,Glenn County,District Attorney,Robert Maloney,Male,White,summer_14
CA,Humboldt County,District Attorney,Paul Gallegos,Male,Hispanic or Latino,summer_14
CA,Imperial County,District Attorney,Gilbert Otero,Male,Hispanic or Latino,summer_14
CA,Inyo County,District Attorney,Art Maillet,Male,White,summer_14
CA,Kern County,District Attorney,Lisa Green,Female,White,summer_14
CA,Kings County,District Attorney,Greg Strickland,Male,White,summer_14
CA,Lake County,District Attorney,Don A. Anderson,Male,White,summer_14
CA,Lassen County,District Attorney,Bob Burns,Male,White,summer_14
CA,Los Angeles County,District Attorney,Jackie Lacey,Female,Black or African American,summer_14
CA,Madera County,District Attorney,Michael Keitz,Male,White,summer_14
CA,Marin County,District Attorney,Ed Berberian,Male,White,summer_14
CA,Mariposa County,District Attorney,Thomas K Cooke,Male,White,summer_14
CA,Mendocino County,District Attorney,C. David Eyster,Male,White,summer_14
CA,Merced County,District Attorney,Larry Morse,Male,White,summer_14
CA,Modoc County,District Attorney,Chris Brooke,Male,White,summer_14
CA,Mono County,District Attorney,Tim Kendall,Male,White,summer_14
CA,Monterey County,District Attorney,Dean Flippo,Male,White,summer_14
CA,Napa County,District Attorney,Gary Lieberstein,Male,White,summer_14
CA,Nevada County,District Attorney,Clifford Newell,Male,White,summer_14
CA,Orange County,District Attorney,Anthony Rackauckas,Male,Two or more races,summer_14
