,GEO_display-label
422,"bullock county, alabama"
782,"chilton county, alabama"
926,"clarke county, alabama"
1070,"cleburne county, alabama"
1358,"coosa county, alabama"
1502,"crenshaw county, alabama"
1718,"dallas county, alabama"
1790,"dekalb county, alabama"
1862,"elmore county, alabama"
2222,"geneva county, alabama"
2366,"hale county, alabama"
2510,"houston county, alabama"
2726,"lamar county, alabama"
3086,"lowndes county, alabama"
3158,"macon county, alabama"
3302,"marengo county, alabama"
3590,"monroe county, alabama"
3806,"perry county, alabama"
3878,"pickens county, alabama"
3950,"pike county, alabama"
4022,"randolph county, alabama"
4310,"sumter county, alabama"
4454,"tallapoosa county, alabama"
4670,"washington county, alabama"
4742,"wilcox county, alabama"
4814,"winston county, alabama"
4886,"aleutians east borough, alaska"
4958,"aleutians west census area, alaska"
5030,"anchorage municipality, alaska"
5102,"bethel census area, alaska"
5174,"bristol bay borough, alaska"
5246,"denali borough, alaska"
5318,"dillingham census area, alaska"
5390,"fairbanks north star borough, alaska"
5462,"haines borough, alaska"
5534,"hoonah-angoon census area, alaska"
5606,"juneau city and borough, alaska"
5678,"kenai peninsula borough, alaska"
5750,"ketchikan gateway borough, alaska"
5822,"kodiak island borough, alaska"
5894,"kusilvak census area, alaska"
5966,"lake and peninsula borough, alaska"
6038,"matanuska-susitna borough, alaska"
6110,"nome census area, alaska"
6182,"north slope borough, alaska"
6254,"northwest arctic borough, alaska"
6326,"petersburg borough, alaska"
6398,"prince of wales-hyder census area, alaska"
6470,"sitka city and borough, alaska"
6542,"skagway municipality, alaska"
6614,"southeast fairbanks census area, alaska"
6686,"valdez-cordova census area, alaska"
6758,"wrangell city and borough, alaska"
6830,"yakutat city and borough, alaska"
6902,"yukon-koyukuk census area, alaska"
6974,"apache county, arizona"
8054,"arkansas county, arkansas"
8126,"ashley county, arkansas"
8198,"baxter county, arkansas"
8270,"benton county, arkansas"
8342,"boone county, arkansas"
8414,"bradley county, arkansas"
8486,"calhoun county, arkansas"
8558,"carroll county, arkansas"
8630,"chicot county, arkansas"
8702,"clark county, arkansas"
8774,"clay county, arkansas"
8846,"cleburne county, arkansas"
8918,"cleveland county, arkansas"
8990,"columbia county, arkansas"
9062,"conway county, arkansas"
9134,"craighead county, arkansas"
9206,"crawford county, arkansas"
9278,"crittenden county, arkansas"
9350,"cross county, arkansas"
9422,"dallas county, arkansas"
9494,"desha county, arkansas"
9566,"drew county, arkansas"
9638,"faulkner county, arkansas"
9710,"franklin county, arkansas"
9782,"fulton county, arkansas"
9854,"garland county, arkansas"
9926,"grant county, arkansas"
9998,"greene county, arkansas"
10070,"hempstead county, arkansas"
10142,"hot spring county, arkansas"
10214,"howard county, arkansas"
10286,"independence county, arkansas"
10358,"izard county, arkansas"
10430,"jackson county, arkansas"
10502,"jefferson county, arkansas"
10574,"johnson county, arkansas"
10646,"lafayette county, arkansas"
10718,"lawrence county, arkansas"
10790,"lee county, arkansas"
10862,"lincoln county, arkansas"
10934,"little river county, arkansas"
11006,"logan county, arkansas"
11078,"lonoke county, arkansas"
11150,"madison county, arkansas"
11222,"marion county, arkansas"
11294,"miller county, arkansas"
11366,"mississippi county, arkansas"
11438,"monroe county, arkansas"
11510,"montgomery county, arkansas"
11582,"nevada county, arkansas"
11654,"newton county, arkansas"
11726,"ouachita county, arkansas"
11798,"perry county, arkansas"
11870,"phillips county, arkansas"
11942,"pike county, arkansas"
12014,"poinsett county, arkansas"
12086,"polk county, arkansas"
12158,"pope county, arkansas"
12230,"prairie county, arkansas"
12302,"pulaski county, arkansas"
12374,"randolph county, arkansas"
12446,"st. francis county, arkansas"
12518,"saline county, arkansas"
12590,"scott county, arkansas"
12662,"searcy county, arkansas"
12734,"sebastian county, arkansas"
12806,"sevier county, arkansas"
12878,"sharp county, arkansas"
12950,"stone county, arkansas"
13022,"union county, arkansas"
13094,"van buren county, arkansas"
13166,"washington county, arkansas"
13238,"white county, arkansas"
13310,"woodruff county, arkansas"
13382,"yell county, arkansas"
17702,"alamosa county, colorado"
17918,"baca county, colorado"
17990,"bent county, colorado"
18134,"broomfield county, colorado"
18206,"chaffee county, colorado"
18278,"cheyenne county, colorado"
18350,"clear creek county, colorado"
18422,"conejos county, colorado"
18494,"costilla county, colorado"
18566,"crowley county, colorado"
18638,"custer county, colorado"
18710,"delta county, colorado"
18782,"denver county, colorado"
18854,"dolores county, colorado"
18926,"douglas county, colorado"
18998,"eagle county, colorado"
19070,"elbert county, colorado"
19214,"fremont county, colorado"
19286,"garfield county, colorado"
19358,"gilpin county, colorado"
19430,"grand county, colorado"
19502,"gunnison county, colorado"
19574,"hinsdale county, colorado"
19646,"huerfano county, colorado"
19718,"jackson county, colorado"
19862,"kiowa county, colorado"
19934,"kit carson county, colorado"
20006,"lake county, colorado"
20222,"las animas county, colorado"
20510,"mineral county, colorado"
20582,"moffat county, colorado"
20726,"montrose county, colorado"
20798,"morgan county, colorado"
20870,"otero county, colorado"
20942,"ouray county, colorado"
21014,"park county, colorado"
21086,"phillips county, colorado"
21158,"pitkin county, colorado"
21374,"rio blanco county, colorado"
21446,"rio grande county, colorado"
21590,"saguache county, colorado"
21662,"san juan county, colorado"
21734,"san miguel county, colorado"
21806,"sedgwick county, colorado"
21950,"teller county, colorado"
22022,"washington county, colorado"
22166,"yuma county, colorado"
22238,"fairfield county, connecticut"
22310,"hartford county, connecticut"
22382,"litchfield county, connecticut"
22454,"middlesex county, connecticut"
22526,"new haven county, connecticut"
22598,"new london county, connecticut"
22670,"tolland county, connecticut"
22742,"windham county, connecticut"
22814,"kent county, delaware"
22886,"new castle county, delaware"
22958,"sussex county, delaware"
23030,"district of columbia, district of columbia"
23102,"alachua county, florida"
23174,"baker county, florida"
23246,"bay county, florida"
23318,"bradford county, florida"
23390,"brevard county, florida"
23462,"broward county, florida"
23534,"calhoun county, florida"
23606,"charlotte county, florida"
23678,"citrus county, florida"
23750,"clay county, florida"
23822,"collier county, florida"
23894,"columbia county, florida"
23966,"desoto county, florida"
24038,"dixie county, florida"
24110,"duval county, florida"
24182,"escambia county, florida"
24254,"flagler county, florida"
24326,"franklin county, florida"
24398,"gadsden county, florida"
24470,"gilchrist county, florida"
24542,"glades county, florida"
24614,"gulf county, florida"
24686,"hamilton county, florida"
24758,"hardee county, florida"
24830,"hendry county, florida"
24902,"hernando county, florida"
24974,"highlands county, florida"
25046,"hillsborough county, florida"
25118,"holmes county, florida"
25190,"indian river county, florida"
25262,"jackson county, florida"
25334,"jefferson county, florida"
25406,"lafayette county, florida"
25478,"lake county, florida"
25550,"lee county, florida"
25622,"leon county, florida"
25694,"levy county, florida"
25766,"liberty county, florida"
25838,"madison county, florida"
25910,"manatee county, florida"
25982,"marion county, florida"
26054,"martin county, florida"
26126,"miami-dade county, florida"
26198,"monroe county, florida"
26270,"nassau county, florida"
26342,"okaloosa county, florida"
26414,"okeechobee county, florida"
26486,"orange county, florida"
26558,"osceola county, florida"
26630,"palm beach county, florida"
26702,"pasco county, florida"
26774,"pinellas county, florida"
26846,"polk county, florida"
26918,"putnam county, florida"
26990,"st. johns county, florida"
27062,"st. lucie county, florida"
27134,"santa rosa county, florida"
27206,"sarasota county, florida"
27278,"seminole county, florida"
27350,"sumter county, florida"
27422,"suwannee county, florida"
27494,"taylor county, florida"
27566,"union county, florida"
27638,"volusia county, florida"
27710,"wakulla county, florida"
27782,"walton county, florida"
27854,"washington county, florida"
27926,"appling county, georgia"
27998,"atkinson county, georgia"
28070,"bacon county, georgia"
28142,"baker county, georgia"
28214,"baldwin county, georgia"
28286,"banks county, georgia"
28358,"barrow county, georgia"
28430,"bartow county, georgia"
28502,"ben hill county, georgia"
28574,"berrien county, georgia"
28646,"bibb county, georgia"
28718,"bleckley county, georgia"
28790,"brantley county, georgia"
28862,"brooks county, georgia"
28934,"bryan county, georgia"
29006,"bulloch county, georgia"
29078,"burke county, georgia"
29150,"butts county, georgia"
29222,"calhoun county, georgia"
29294,"camden county, georgia"
29366,"candler county, georgia"
29438,"carroll county, georgia"
29510,"catoosa county, georgia"
29582,"charlton county, georgia"
29654,"chatham county, georgia"
29726,"chattahoochee county, georgia"
29798,"chattooga county, georgia"
29870,"cherokee county, georgia"
29942,"clarke county, georgia"
30014,"clay county, georgia"
