state,Electoral_District,county_names,if_other,state_link
AR,11th East Judicial District ,Arkansas,,https://courts.arkansas.gov/courts/circuit-courts/arkansas-judicial-circuits
AR,11th West Judicial District ,"Jefferson, Lincoln",,
AR,12th Judicial District,Sebastian,,
AR,13th Judicial District ,"Dallas, Cleveland, Calhoun, Ouachita, Union, Columbia",,
AR,14th Judicial District,"Newton, Boone, Marion, Baxter",,
AR,15th Judicial District,"Logan, Yell, Scott",,
AR,16th Judifcial District,"Fulton, Izard, Stone, Independence, Cleburne",,
AR,17th Judicial District,"White, Prairie",,
AR,18th East Judicial District,Garland,,
AR,18th West Judicial District,"Polk, Montgomery",,
AR,19th East Judicial District,Carroll,,
AR,19th West Judifical Distric,Benton,,
AR,1st Judicial District ,"St. Francis, Lee, Woodruff, Phillips, Monroe",,
AR,20th Judicial District,"Faulkner, Van Buren, Searcy",,
AR,21st Judicial District,Crawford,,
AR,22nd Judicial District,Saline,,
AR,23rd Judicial District,Lonoke,,
AR,2nd Judicial District ,"Clay, Greene, Craighead, Poinsett, Crittenden, Mississippi",,
AR,3rd Judicial District ,"Randolph, Sharp, Lawrence, Jackson",,
AR,4th Judicial District ,"Madison, Washington",,
AR,5th Judicial District ,"Franklin, Johnson, Pope",,
AR,6th Judicial District,"Perry, Pulaski",,
AR,7th Judicial District,"Hot Spring, Grant",,
AR,8th North Judicial District,"Nevada, Hempstead",,
AR,8th South Judicial District,"Miller, Lafayette",,
AR,9th East Judicial District,Clark,,
AR,9th West Judicial District,"Little River, Sevier, Pike, Howard",,
CO,12th Judicial District,"Alamosa, Conejos, Costilla, Mineral, Rio Grande, Saguache  ",,https://www.courts.state.co.us/Courts/District/Choose.cfm
CO,2nd Judicial District,Denver,,
CO,1st Judicial District,"Gilpin, Jefferson",Jefferson County,
CO,3rd Judicial District,"Huerfano, Las Animas",,
CO,4th Judicial District,"El Paso, Teller",El Paso County,
CO,5th Judicial District ,"Clear Creek, Eagle, Lake, Summit",Summit County,
CO,6th Judicial District,"Archuleta, La Plata, San Juan",Archuleta County,
CO,7th Judicial District,"Delta, Gunnison, Hinsdale, Montrose, Ouray, San Miguel",,
CO,8th Judicial District,"Jackson, Larimer",Larimer County,
CO,9th Judicial District,"Garfield, Pitkin, Rio Blanco",,
CO,10th Judicial District,Pueblo,Pueblo County,
CO,11th Judicial District,"Chaffee, Custer, Fremont, Park",,
CO,12th Judicial District,"Alamosa, Conejos, Costilla, Mineral, Rio Grande, Saguache",,
CO,13th Judicial District ,"Kit Carson, Logan, Morgan, Phillips, Sedgwick, Washington, Yuma",,
CO,14th Judicial District,"Grand, Moffat, Routt",Routt County,
CO,15th Judicial District,"Baca, Cheyenne, Kiowa, Prowers",Prowers County,
CO,16th Judifcial District,"Bent, Crowley, Otero",,
CO,17th Judicial District,"Adams, Broomfield",Adams County,
CO,18th Judicial District,"Arapahoe, Douglas, Elbert, Lincoln",Arapahoe County,
CO,19th Judicial District,Weld,Weld County,
CO,20th Judicial District,Boulder,Boulder County,
CO,21st Judicial District,Mesa,Mesa County,
CO,22nd Judicial District,"Dolores, Montezuma",Montezuma County,
FL,10th Judicial District,"Hardee, Highlands, Polk",,https://www.floridabar.org/DIVCOM/PI/DirEntries.nsf/E0FDB4DDD5DEAA2085256EEE004338FD/3EDCC26D6675328585256EEE0044547E?OpenDocument
FL,11th Judicial District,Dade,,
FL,12th Judicial District,"DeSoto, Manatee, Sarasota",,
FL,13th Judicial District,Hillsborough,,
FL,14th Judicial District,"Bay, Calhoun, Gulf, Holmes, Jackson, Washington",,
FL,15th Judicial District,Palm Beach,,
FL,16th Judicial District,Monroe,,
FL,17th Judicial District,Broward,,
FL,18th Judicial District,"Brevard, Seminole",,
FL,19th Judicial District,"Indian River, Martin, Okeechobee, St. Lucie",,
FL,1st Judicial District,"Escambia, Okaloosa, Santa Rosa, Walton",,
FL,20th Judicial District,"Charlotte, Collier, Glades, Hendry, Lee",,
FL,2nd Judicial District,"Franklin, Gadsden, Jefferson, Leon, Liberty, Wakulla",,
FL,3rd Judicial District,"Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, Taylor",,
FL,4th Judicial District,"Clay, Duval, Nassau",,
FL,5th Judicial District,"Citrus, Hernando, Lake, Marion, Sumter",,
FL,6th Judicial District,"Pasco, Pinellas",,
FL,7th Judicial District,"St. Johns, Volusia, Flagler, Putnam",,
FL,8th Judicial District,"Alachua, Baker, Bradford, Gilchrist, Levy, Union",,
FL,9th Judicial District,"Orange, Osceola",,
GA,Alapaha District,"Atkinson , Berrien , Cook , Clinch , Lanier ",,https://www.justia.com/courts/state-courts/georgia.html
GA,Alcovy District,"Newton , Walton ",,
GA,Appalachian District,"Fannin , Gilmer , Pickens ",,
GA,Atlanta District,Fulton,,
GA,Atlantic District,"Bryan , Evans , Liberty , Long , McIntosh , Tattnall ",,
GA,Augusta District,"Burke , Columbia , Richmond ",,
